AGENT_ID,AGENT_NAME,AGENCY_NAME,AGENCY_CODE,LICENSE_STATE,SPECIALIZATION,YEARS_EXPERIENCE,TOTAL_POLICIES,PERFORMANCE_RATING,CREATED_AT
AGT-000,Agent_0,Agency_16,AGN-000,IN,General Liability,24,335,3.5,2024-01-20 19:43:05
AGT-001,Agent_1,Agency_25,AGN-001,VA,Commercial Auto,30,212,4.4,2024-06-21 08:24:05
AGT-002,Agent_2,Agency_30,AGN-002,KY,Commercial Property,3,381,4.7,2025-02-22 04:22:05
AGT-003,Agent_3,Agency_22,AGN-003,KY,General Liability,12,468,4.5,2025-03-26 14:07:05
AGT-004,Agent_4,Agency_14,AGN-004,WV,Multi-Line,6,75,3.9,2024-04-30 23:00:05
AGT-005,Agent_5,Agency_2,AGN-005,IN,Commercial Auto,1,409,2.8,2025-11-30 04:02:05
AGT-006,Agent_6,Agency_2,AGN-006,IN,Commercial Auto,29,444,2.4,2025-11-22 07:27:05
AGT-007,Agent_7,Agency_21,AGN-007,IN,General Liability,26,44,2.7,2024-04-19 05:59:05
AGT-008,Agent_8,Agency_11,AGN-008,VA,Commercial Property,7,244,3.6,2025-09-01 01:01:05
AGT-009,Agent_9,Agency_45,AGN-009,OH,Commercial Property,14,331,2.8,2025-06-20 04:10:05
AGT-010,Agent_10,Agency_34,AGN-010,OH,General Liability,10,52,3.6,2024-08-09 23:06:05
AGT-011,Agent_11,Agency_25,AGN-011,WV,Commercial Property,24,439,2.8,2026-02-04 02:11:05
AGT-012,Agent_12,Agency_2,AGN-012,WV,Workers Compensation,31,364,4.2,2026-02-02 03:32:05
AGT-013,Agent_13,Agency_24,AGN-013,IN,Commercial Auto,18,49,3.0,2025-07-21 07:03:05
AGT-014,Agent_14,Agency_19,AGN-014,VA,Multi-Line,5,340,2.4,2023-10-25 22:29:05
AGT-015,Agent_15,Agency_2,AGN-015,VA,Commercial Auto,3,91,3.8,2025-09-23 22:01:05
AGT-016,Agent_16,Agency_9,AGN-016,OH,Workers Compensation,5,255,4.7,2026-01-20 04:15:05
AGT-017,Agent_17,Agency_41,AGN-017,PA,Commercial Auto,21,127,5.0,2025-01-15 17:28:05
AGT-018,Agent_18,Agency_28,AGN-018,IN,General Liability,34,102,4.7,2024-09-29 12:16:05
AGT-019,Agent_19,Agency_29,AGN-019,OH,General Liability,1,455,4.6,2024-05-05 06:38:05
AGT-020,Agent_20,Agency_4,AGN-020,IN,General Liability,21,174,4.0,2023-10-31 07:10:05
AGT-021,Agent_21,Agency_20,AGN-021,WV,General Liability,26,262,2.1,2025-09-22 07:35:05
AGT-022,Agent_22,Agency_33,AGN-022,KY,Workers Compensation,14,389,3.9,2025-07-19 11:38:05
AGT-023,Agent_23,Agency_6,AGN-023,OH,Workers Compensation,34,64,3.3,2025-10-20 15:35:05
AGT-024,Agent_24,Agency_10,AGN-024,VA,Commercial Property,6,99,4.9,2025-02-03 14:41:05
AGT-025,Agent_25,Agency_39,AGN-025,OH,Commercial Property,27,488,4.8,2024-05-28 20:37:05
AGT-026,Agent_26,Agency_6,AGN-026,IN,Commercial Auto,30,239,2.2,2026-01-16 06:42:05
AGT-027,Agent_27,Agency_16,AGN-027,IN,Commercial Auto,35,363,3.3,2026-05-12 18:20:05
AGT-028,Agent_28,Agency_26,AGN-028,IN,General Liability,19,399,4.7,2024-09-14 23:47:05
AGT-029,Agent_29,Agency_4,AGN-029,VA,General Liability,7,36,4.6,2024-05-30 22:55:05
AGT-030,Agent_30,Agency_11,AGN-030,PA,Commercial Auto,10,25,3.3,2026-03-06 14:20:05
