POLICY_ID,POLICY_NUMBER,POLICYHOLDER_NAME,LINE_OF_BUSINESS,COVERAGE_TYPE,EFFECTIVE_DATE,EXPIRATION_DATE,PREMIUM_AMOUNT,DEDUCTIBLE_AMOUNT,COVERAGE_LIMIT,STATE,AGENCY_CODE,UNDERWRITER_ID,STATUS,CREATED_AT
POL-0000000,ENC-2026-000000,Policyholder_0,Workers Compensation,Bodily Injury,2024-07-10,2024-10-05,11548.93,7430.59,3399662.46,GA,AGN-023,UW-019,ACTIVE,2025-10-21 20:00:05
POL-0000001,ENC-2026-000001,Policyholder_1,Business Owners Policy,Property Damage,2026-01-20,2026-06-10,28281.63,7231.19,3521558.62,NC,AGN-057,UW-015,ACTIVE,2025-07-28 12:10:05
POL-0000002,ENC-2026-000002,Policyholder_2,Workers Compensation,Medical Payments,2026-04-19,2026-08-08,8196.24,9582.83,1716143.0,IN,AGN-098,UW-004,ACTIVE,2025-11-23 09:23:05
POL-0000003,ENC-2026-000003,Policyholder_3,Business Owners Policy,Property Damage,2025-07-29,2025-09-19,48669.23,3940.71,2782601.12,SC,AGN-159,UW-029,ACTIVE,2025-11-21 02:49:05
POL-0000004,ENC-2026-000004,Policyholder_4,Workers Compensation,Property Damage,2026-02-13,2026-04-07,42838.23,8698.22,1931624.81,TN,AGN-163,UW-027,ACTIVE,2025-11-20 15:38:05
POL-0000005,ENC-2026-000005,Policyholder_5,Commercial Property,Comprehensive,2025-04-27,2025-09-11,31931.43,5457.86,1261814.08,TN,AGN-098,UW-009,ACTIVE,2025-07-01 22:26:05
POL-0000006,ENC-2026-000006,Policyholder_6,Commercial Property,Bodily Injury,2025-09-13,2026-03-28,41179.23,8099.2,2035765.7,IN,AGN-055,UW-030,CANCELLED,2025-08-07 22:41:05
POL-0000007,ENC-2026-000007,Policyholder_7,Commercial Auto,Bodily Injury,2025-09-20,2026-09-20,13611.57,2654.62,2828772.26,PA,AGN-192,UW-019,ACTIVE,2025-10-18 02:36:05
POL-0000008,ENC-2026-000008,Policyholder_8,General Liability,Comprehensive,2025-04-20,2025-09-09,24929.03,7618.88,4312459.4,WV,AGN-161,UW-006,EXPIRED,2025-06-11 07:23:05
POL-0000009,ENC-2026-000009,Policyholder_9,Commercial Auto,Comprehensive,2026-02-19,2026-10-04,12945.0,5643.95,4715032.76,SC,AGN-185,UW-004,ACTIVE,2025-06-10 03:13:05
POL-0000010,ENC-2026-000010,Policyholder_10,Workers Compensation,Collision,2025-07-26,2026-07-19,8328.81,281.64,3624355.7,IL,AGN-068,UW-017,ACTIVE,2026-02-23 04:03:05
POL-0000011,ENC-2026-000011,Policyholder_11,Business Owners Policy,Comprehensive,2026-01-07,2026-12-23,10346.1,3895.66,849667.73,GA,AGN-001,UW-020,ACTIVE,2025-12-11 06:00:05
POL-0000012,ENC-2026-000012,Policyholder_12,Workers Compensation,Bodily Injury,2026-01-01,2026-08-04,3367.3,8810.59,4737399.75,IN,AGN-188,UW-016,CANCELLED,2026-04-20 03:12:05
